Rep,STUDY_ID,trait,Mean_kendall_cor
1,10,TR_Max_Height,-0.14022235687718176
1,10,TR_Mean_SeedMass,-0.07038153430777869
1,18,TR_Max_Height,0.0256830037875801
1,18,TR_Mean_SeedMass,0.13445924710454357
1,39,TR_adult_body_mass_g,-0.018724941984587493
1,41,TR_adult_body_mass_g,0.22807017543859653
1,45,TR_BodyLength_mm,0.035736145005917826
1,46,TR_adult_body_mass_g,0.16307692307692306
1,47,TR_adult_body_mass_g,-0.28205128205128205
1,56,TR_adult_body_mass_g,0.012987012987012988
1,58,TR_adult_body_mass_g,-0.04843304843304843
1,59,TR_adult_body_mass_g,0.027692307692307693
1,60,TR_Max_Height,0.020803002378950514
1,60,TR_Mean_SeedMass,-0.060773123848164155
1,67,TR_adult_body_mass_g,0.07657956480575182
1,67,TR_BodyLength_mm,-0.33333333333333337
1,72,TR_QualBS_Numeric,0.3512069767742115
1,78,TR_BodyLength_mm,0.007057900662602774
1,85,TR_BodyLength_mm,0.03331553898024864
1,91,TR_adult_body_mass_g,-0.07288166588751782
1,91,TR_BodyLength_mm,-0.11547629070221264
1,97,TR_BodyLength_mm,0.13409600868852906
1,97,TR_QualBS_Numeric,-0.04195158750029108
1,99,TR_BodyLength_mm,0.007006002749154023
1,99,TR_Mean_LengthMax,-0.42857142857142855
1,108,TR_adult_body_mass_g,-0.004164150657470177
1,112,TR_BodyLength_mm,-0.01374623420649075
1,112,TR_Mean_LengthMax,-0.010217505988909067
1,119,TR_BodyLength_mm,0.0023423508099715868
1,119,TR_Mean_LengthMax,-0.0014628483046629972
1,121,TR_BodyLength_mm,0.010145312524311391
1,123,TR_BodyLength_mm,0.0027650385054276655
1,123,TR_Mean_LengthMax,-0.012816495160063703
1,125,TR_BodyLength_mm,-0.01411447888152183
1,125,TR_Mean_LengthMax,-0.014341391982279213
1,126,TR_Mean_LengthMax,0.05381493680363469
1,127,TR_BodyLength_mm,-0.05286387131173064
1,127,TR_Mean_LengthMax,-0.019582899684443517
1,133,TR_BodyLength_mm,0.07738643630799098
1,133,TR_QualBS_Numeric,-0.1935132034160447
1,135,TR_BodyLength_mm,-0.30377455700703687
1,135,TR_Mean_LengthMax,0.2945870964800329
1,142,TR_BodyLength_mm,0.1543087849966989
1,143,TR_BodyLength_mm,-0.134871392933875
1,143,TR_QualBS_Numeric,-0.06298687910013885
1,148,TR_BodyLength_mm,-0.002420783076353602
1,148,TR_Mean_LengthMax,-0.1687952637485856
1,163,TR_BodyLength_mm,0.002717609724097105
1,163,TR_Mean_LengthMax,-0.0014814005098039494
1,166,TR_adult_body_mass_g,-0.005438323414917656
1,166,TR_BodyLength_mm,0.009947662346118968
1,169,TR_adult_body_mass_g,0.0045567962379189746
1,169,TR_BodyLength_mm,0.0044528241587794455
1,171,TR_adult_body_mass_g,0.21809101712629314
1,171,TR_BodyLength_mm,0.11057297257825703
1,172,TR_adult_body_mass_g,0.002172797725875606
1,172,TR_BodyLength_mm,0.016217545683167297
1,176,TR_BodyLength_mm,0.04139780588691489
1,176,TR_QualBS_Numeric,-0.006934629125257229
1,180,TR_BodyLength_mm,0.0016204800968109697
1,180,TR_Mean_LengthMax,0.001627978171085484
1,182,TR_BodyLength_mm,-0.012701486921555337
1,182,TR_Mean_LengthMax,-0.021636558496179622
1,183,TR_BodyLength_mm,-0.04311893531305858
1,189,TR_BodyLength_mm,-0.03778183819186985
1,189,TR_Mean_LengthMax,0.001036316472393353
1,190,TR_BodyLength_mm,-0.04837961982682846
1,190,TR_Mean_LengthMax,-0.015199211781679257
1,191,TR_BodyLength_mm,0.03128263642645291
1,191,TR_Mean_LengthMax,-0.05523110481421287
1,191,TR_QualBS_Numeric,5.675424787546247e-4
1,195,TR_adult_body_mass_g,-0.0017818941235157061
1,202,TR_Mean_SeedMass,0.04761904761904761
1,204,TR_BodyLength_mm,0.04222962219018888
1,211,TR_BodyLength_mm,-0.011981226208686246
1,211,TR_Mean_LengthMax,-0.010297972786970429
1,212,TR_BodyLength_mm,-3.406878853307336e-4
1,212,TR_Mean_LengthMax,0.015324482184960828
1,213,TR_BodyLength_mm,-0.002931345441429085
1,213,TR_Mean_LengthMax,-1.3478584118714086e-4
1,214,TR_Max_Height,0.03583836264938562
1,214,TR_Mean_SeedMass,-0.005891793391793384
1,217,TR_adult_body_mass_g,-4.404369647190394e-4
1,224,TR_Max_Height,-0.1164556200472655
1,224,TR_Mean_SeedMass,-0.21925133689839577
1,232,TR_BodyLength_mm,-0.006481140501247929
1,234,TR_Max_Height,0.045802861241434456
1,234,TR_Mean_SeedMass,-0.33333333333333337
1,235,TR_Max_Height,0.15384615384615385
1,235,TR_Mean_SeedMass,-0.06666666666666665
1,240,TR_Mean_SeedMass,0.005007371590184734
1,241,TR_Max_Height,-0.02205919917800934
1,241,TR_Mean_SeedMass,0.14074010555640273
1,242,TR_Max_Height,-0.055555555555555566
1,242,TR_Mean_SeedMass,0.3090909090909091
1,243,TR_Max_Height,-0.13333333333333336
1,243,TR_Mean_SeedMass,-0.021739130434782608
1,246,TR_BodyLength_mm,0.018476770471523938
1,248,TR_Max_Height,0.0261881637770125
1,248,TR_Mean_SeedMass,-0.0032634032634032625
