trait,STUDY_ID_CELL,kendall_cor
TR_BodyLength_mm,108_3963796,0.33333333333333337
TR_BodyLength_mm,108_3980572,0.33333333333333337
TR_BodyLength_mm,108_4006101,-0.33333333333333337
TR_BodyLength_mm,108_4116953,0.5477225575051661
TR_BodyLength_mm,108_4118412,-0.9128709291752769
TR_BodyLength_mm,112_2657767,0.2
TR_BodyLength_mm,112_2657771,-0.1111111111111111
TR_BodyLength_mm,112_2657775,-0.01818181818181818
TR_BodyLength_mm,112_2657779,0.2
TR_BodyLength_mm,112_2657783,-0.24444444444444444
TR_BodyLength_mm,112_2657784,0.28888888888888886
TR_BodyLength_mm,112_2657785,0.06666666666666667
TR_BodyLength_mm,112_2657786,0.27777777777777785
TR_BodyLength_mm,112_2657787,-0.3333333333333333
TR_BodyLength_mm,112_2657788,-0.15555555555555556
TR_BodyLength_mm,112_2657790,0.15555555555555556
TR_BodyLength_mm,112_2657794,0.13483997249264842
TR_BodyLength_mm,112_2657798,-0.022222222222222223
TR_BodyLength_mm,112_2657802,0.28888888888888886
TR_BodyLength_mm,112_2657813,0.1111111111111111
TR_BodyLength_mm,112_2657924,0.42768868524785647
TR_BodyLength_mm,112_2657926,0.2276910729860814
TR_BodyLength_mm,112_2657927,0.3705946470216767
TR_BodyLength_mm,112_2657928,0.6356417261637282
TR_BodyLength_mm,112_2658499,0.3333333333333334
TR_BodyLength_mm,112_2658502,-0.08989331499509895
TR_BodyLength_mm,112_2658512,-0.044946657497549475
TR_BodyLength_mm,112_2658515,0.38181818181818183
TR_BodyLength_mm,112_2658516,0.09090909090909091
TR_BodyLength_mm,112_2658518,0.06666666666666667
TR_BodyLength_mm,112_2658519,0.3333333333333333
TR_BodyLength_mm,112_2658520,-0.3333333333333334
TR_BodyLength_mm,112_2658521,0.15555555555555556
TR_BodyLength_mm,112_2658523,-0.2
TR_BodyLength_mm,112_2658525,0.16363636363636364
TR_BodyLength_mm,112_2658527,0.3146266024828463
TR_BodyLength_mm,112_2658528,0.06666666666666667
TR_BodyLength_mm,112_2658531,-0.26967994498529685
TR_BodyLength_mm,112_2658532,0.13483997249264842
TR_BodyLength_mm,112_2658540,0.11111111111111113
TR_BodyLength_mm,112_2658575,0.2
TR_BodyLength_mm,112_2658639,-0.046543735947504335
TR_BodyLength_mm,112_2658655,0.2109895205646066
TR_BodyLength_mm,112_2658656,0.48617243480439776
TR_BodyLength_mm,112_2658663,0.14285714285714285
TR_BodyLength_mm,112_2659233,-0.06666666666666667
TR_BodyLength_mm,112_2659235,0.06666666666666667
TR_BodyLength_mm,112_2659238,0.044946657497549475
TR_BodyLength_mm,112_2659239,-0.24444444444444444
TR_BodyLength_mm,112_2659240,-0.1666666666666667
TR_BodyLength_mm,112_2659242,-0.2
TR_BodyLength_mm,112_2659244,-0.24444444444444444
TR_BodyLength_mm,112_2659247,0.1797866299901979
TR_BodyLength_mm,112_2659248,-0.16363636363636364
TR_BodyLength_mm,112_2659249,-0.41818181818181815
TR_BodyLength_mm,112_2659251,0.022222222222222223
TR_BodyLength_mm,112_2659252,-0.15555555555555556
TR_BodyLength_mm,112_2659253,0.2
TR_BodyLength_mm,112_2659257,0
TR_BodyLength_mm,112_2659259,-0.18349396085439343
TR_BodyLength_mm,112_2659261,0.2
TR_BodyLength_mm,112_2659262,0.24444444444444444
TR_BodyLength_mm,112_2659298,-0.37777777777777777
TR_BodyLength_mm,112_2659383,0.5230769230769231
TR_BodyLength_mm,112_2659384,0.45369643578108015
TR_BodyLength_mm,112_2659385,0.4474071525726429
TR_BodyLength_mm,112_2659392,-0.07142857142857142
TR_BodyLength_mm,112_2659964,0.1111111111111111
TR_BodyLength_mm,112_2659966,-0.37777777777777777
TR_BodyLength_mm,112_2659968,-0.022222222222222223
TR_BodyLength_mm,112_2659969,-0.40451991747794525
TR_BodyLength_mm,112_2659972,0.055555555555555566
TR_BodyLength_mm,112_2659973,0.28888888888888886
TR_BodyLength_mm,112_2659975,-0.37777777777777777
TR_BodyLength_mm,112_2659976,0.022222222222222223
TR_BodyLength_mm,112_2659979,-0.2727272727272727
TR_BodyLength_mm,112_2659980,-0.28888888888888886
TR_BodyLength_mm,112_2659981,-0.1111111111111111
TR_BodyLength_mm,112_2659982,-0.1111111111111111
TR_BodyLength_mm,112_2659983,-0.15555555555555556
TR_BodyLength_mm,112_2659985,0.3333333333333333
TR_BodyLength_mm,112_2659989,-0.06666666666666667
TR_BodyLength_mm,112_2660007,0.4666666666666667
TR_BodyLength_mm,112_2660008,-0.055555555555555566
TR_BodyLength_mm,112_2660009,0.3333333333333334
TR_BodyLength_mm,112_2660112,0.3093969872615047
